Date,Category,Payment_modes,Description,Amount,Cashback
2024-04-18,Groceries,Cash,Dairy,553,12
2024-04-14,Fuel,Gpay,CNG,3573,0
2024-04-17,Insurance,Cash,LIC,4143,0
2024-04-05,Insurance,Net Banking,Vehicle Insurance,1205,10
2024-04-01,Rent,Net Banking,Commercial Rent,1739,12
2024-04-11,Fuel,Net Banking,Diesel,2071,0
2024-04-15,Insurance,Cash,Health Insurance,4974,10
2024-04-16,Fees,Cash,College Fees,1676,10
2024-04-25,Insurance,Debit Card,Vehicle Insurance,817,5
2024-04-08,Insurance,Credit card,Vehicle Insurance,2389,5
2024-04-18,Fuel,Credit card,Diesel,523,100
2024-04-17,Fees,Debit Card,College Fees,3071,100
2024-04-09,Fees,Credit card,School Fees,4081,5
2024-04-22,Groceries,Cash,Fruits,4778,10
2024-04-12,Groceries,Net Banking,Dairy,3512,100
2024-04-02,Fuel,Credit card,Diesel,1462,10
2024-04-24,Rent,Debit Card,Parking Rent,2151,12
2024-04-09,Groceries,Net Banking,Fruits,2209,1000
2024-04-13,Insurance,Debit Card,Health Insurance,3801,1000
2024-04-01,Fees,Cash,School Fees,3756,1000
2024-04-08,Insurance,Cash,Vehicle Insurance,1096,50
2024-04-03,Bills,Gpay,Telephone bill,1254,50
2024-04-29,Fuel,Credit card,CNG,4192,15
2024-04-18,Insurance,Gpay,LIC,2899,10
2024-04-29,Insurance,Debit Card,Vehicle Insurance,3311,0
2024-04-24,Bills,Debit Card,Electricity Bill,3191,12
2024-04-13,Rent,Net Banking,Residential Rent,2876,10
2024-04-22,Fees,Cash,College Fees,4500,12
2024-04-27,Insurance,Net Banking,LIC,2328,100
2024-04-12,Bills,Cash,Electricity Bill,3054,5
2024-04-22,Rent,Net Banking,Parking Rent,4395,100
2024-04-10,Groceries,Net Banking,Bakery,1560,50
2024-04-27,Fuel,Debit Card,CNG,3392,50
2024-04-18,Fuel,Gpay,Petrol,3196,10
2024-04-12,Fees,Cash,School Fees,4577,50
2024-04-17,Insurance,Gpay,Health Insurance,3249,15
2024-04-03,Rent,Debit Card,Commercial Rent,3648,100
2024-04-25,Groceries,Gpay,Dairy,3251,12
2024-04-14,Fees,Cash,College Fees,4261,15
2024-04-02,Groceries,Gpay,Bakery,3933,15
2024-04-07,Insurance,Net Banking,Vehicle Insurance,4448,0
2024-04-01,Insurance,Debit Card,LIC,2782,12
2024-04-15,Fuel,Cash,Diesel,4763,1000
2024-04-08,Insurance,Debit Card,Health Insurance,4067,15
2024-04-20,Fees,Gpay,College Fees,2369,1000
2024-04-29,Bills,Gpay,Electricity Bill,4567,10
2024-04-15,Insurance,Debit Card,LIC,3774,1000
2024-04-12,Bills,Net Banking,Telephone bill,4702,10
2024-04-12,Fuel,Cash,Diesel,3810,50
2024-04-06,Bills,Gpay,Water Bill,4627,100
2024-04-19,Bills,Credit card,Electricity Bill,425,15
2024-04-24,Groceries,Credit card,Vegeatbles,4913,100
2024-04-15,Fuel,Cash,Petrol,559,12
2024-04-08,Insurance,Gpay,LIC,1971,1000
2024-04-17,Rent,Credit card,Residential Rent,3648,100
2024-04-03,Rent,Debit Card,Parking Rent,4478,15
2024-04-14,Fees,Debit Card,School Fees,1413,0
2024-04-18,Bills,Cash,Telephone bill,285,100
2024-04-20,Fuel,Debit Card,Petrol,2428,12
2024-04-11,Fuel,Debit Card,CNG,1560,5
2024-04-25,Bills,Cash,Water Bill,1771,50
2024-04-04,Fees,Cash,College Fees,4013,50
2024-04-08,Fuel,Gpay,Petrol,441,12
2024-04-11,Bills,Cash,Telephone bill,2473,50
2024-04-05,Rent,Credit card,Parking Rent,956,1000
2024-04-18,Bills,Debit Card,Electricity Bill,2465,12
2024-04-12,Insurance,Net Banking,Vehicle Insurance,1726,0
2024-04-20,Groceries,Cash,Dairy,1177,0
2024-04-13,Rent,Debit Card,Residential Rent,2175,5
2024-04-27,Rent,Credit card,Commercial Rent,1097,15
2024-04-01,Fees,Gpay,College Fees,2995,1000
2024-04-21,Fees,Gpay,School Fees,1466,15
2024-04-02,Fuel,Gpay,CNG,2451,12
2024-04-28,Insurance,Credit card,Health Insurance,4397,5
2024-04-22,Insurance,Gpay,Vehicle Insurance,3626,50
2024-04-28,Rent,Gpay,Commercial Rent,1429,10
2024-04-24,Groceries,Credit card,Dairy,4978,50
2024-04-14,Groceries,Cash,Dairy,1108,50
2024-04-11,Insurance,Cash,LIC,1364,100
2024-04-18,Fees,Cash,College Fees,4401,15
2024-04-14,Bills,Cash,Electricity Bill,4393,10
2024-04-01,Rent,Net Banking,Residential Rent,1380,0
2024-04-02,Groceries,Cash,Fruits,267,0
2024-04-26,Rent,Debit Card,Residential Rent,4993,12
2024-04-28,Rent,Credit card,Residential Rent,963,100
2024-04-18,Bills,Debit Card,Electricity Bill,4895,15
2024-04-06,Bills,Credit card,Water Bill,199,15
2024-04-23,Insurance,Net Banking,Vehicle Insurance,3149,100
2024-04-19,Fees,Gpay,College Fees,580,12
2024-04-01,Insurance,Net Banking,LIC,573,50
