Date,Category,Payment_modes,Description,Amount,Cashback
2024-08-17,Fees,Cash,School Fees,2134,1000
2024-08-18,Fuel,Debit Card,Diesel,824,50
2024-08-06,Bills,Debit Card,Electricity Bill,4165,100
2024-08-19,Fuel,Debit Card,Diesel,85,100
2024-08-12,Groceries,Cash,Fruits,2810,50
2024-08-11,Insurance,Cash,Vehicle Insurance,1204,0
2024-08-23,Fuel,Net Banking,Petrol,2240,1000
2024-08-17,Insurance,Debit Card,LIC,3930,50
2024-08-19,Fees,Credit card,College Fees,2805,1000
2024-08-17,Rent,Cash,Parking Rent,818,15
2024-08-02,Fees,Cash,College Fees,3600,12
2024-08-13,Groceries,Net Banking,Bakery,2899,100
2024-08-25,Fees,Debit Card,School Fees,3585,10
2024-08-29,Fuel,Debit Card,Diesel,545,100
2024-08-09,Insurance,Credit card,Vehicle Insurance,3908,12
2024-08-13,Fuel,Net Banking,Diesel,2697,100
2024-08-26,Fees,Cash,College Fees,3375,0
2024-08-27,Fuel,Cash,Diesel,97,15
2024-08-05,Fees,Debit Card,School Fees,1651,10
2024-08-03,Groceries,Gpay,Dairy,3050,10
2024-08-03,Bills,Cash,Telephone bill,3291,10
2024-08-19,Rent,Cash,Residential Rent,273,0
2024-08-07,Rent,Net Banking,Residential Rent,246,12
2024-08-07,Bills,Credit card,Electricity Bill,2720,10
2024-08-11,Fees,Debit Card,School Fees,1536,12
2024-08-06,Bills,Net Banking,Telephone bill,1240,50
2024-08-21,Insurance,Debit Card,LIC,552,50
2024-08-28,Groceries,Debit Card,Vegeatbles,3989,1000
2024-08-20,Fuel,Net Banking,Petrol,949,0
2024-08-30,Bills,Cash,Water Bill,2173,5
2024-08-15,Fees,Debit Card,School Fees,1465,0
2024-08-16,Rent,Gpay,Residential Rent,321,15
2024-08-23,Rent,Debit Card,Parking Rent,846,12
2024-08-17,Fees,Net Banking,College Fees,2783,10
2024-08-22,Insurance,Net Banking,Health Insurance,4550,100
2024-08-29,Bills,Credit card,Electricity Bill,3862,100
2024-08-16,Fuel,Debit Card,Diesel,2310,50
2024-08-24,Insurance,Gpay,Health Insurance,1473,1000
2024-08-10,Bills,Cash,Electricity Bill,4870,1000
2024-08-30,Insurance,Cash,LIC,3485,50
2024-08-16,Bills,Debit Card,Water Bill,159,5
2024-08-18,Insurance,Gpay,Vehicle Insurance,3924,100
2024-08-08,Fuel,Net Banking,Petrol,2820,1000
2024-08-05,Groceries,Cash,Vegeatbles,2375,5
2024-08-20,Bills,Debit Card,Electricity Bill,317,1000
2024-08-14,Insurance,Credit card,Health Insurance,56,12
2024-08-29,Fuel,Net Banking,Petrol,2751,15
2024-08-27,Bills,Debit Card,Telephone bill,3943,0
2024-08-14,Bills,Debit Card,Water Bill,2328,50
2024-08-18,Bills,Credit card,Water Bill,2225,5
2024-08-28,Groceries,Credit card,Dairy,4689,15
2024-08-18,Insurance,Debit Card,LIC,2460,12
2024-08-19,Fees,Credit card,School Fees,1836,50
2024-08-14,Groceries,Credit card,Bakery,2992,12
2024-08-18,Groceries,Debit Card,Bakery,3078,100
2024-08-03,Insurance,Credit card,LIC,2874,12
2024-08-12,Groceries,Net Banking,Vegeatbles,815,12
2024-08-26,Insurance,Cash,LIC,1056,15
2024-08-03,Rent,Gpay,Residential Rent,763,1000
2024-08-11,Rent,Debit Card,Parking Rent,3841,10
2024-08-25,Groceries,Credit card,Fruits,4321,0
2024-08-29,Fuel,Debit Card,Petrol,2903,0
2024-08-11,Groceries,Cash,Dairy,4039,10
