Date,Category,Payment_modes,Description,Amount,Cashback
2024-06-24,Fuel,Credit card,CNG,2015,100
2024-06-06,Rent,Credit card,Parking Rent,361,50
2024-06-15,Rent,Gpay,Commercial Rent,3924,0
2024-06-03,Rent,Net Banking,Residential Rent,4615,12
2024-06-06,Rent,Credit card,Commercial Rent,2971,15
2024-06-13,Groceries,Debit Card,Dairy,2070,0
2024-06-12,Groceries,Gpay,Fruits,611,5
2024-06-12,Rent,Cash,Residential Rent,2368,12
2024-06-02,Insurance,Gpay,Health Insurance,929,12
2024-06-14,Fees,Credit card,College Fees,4348,12
2024-06-10,Groceries,Cash,Fruits,387,12
2024-06-28,Fuel,Debit Card,CNG,961,12
2024-06-14,Insurance,Credit card,Health Insurance,1944,50
2024-06-26,Groceries,Net Banking,Bakery,1668,15
2024-06-17,Groceries,Net Banking,Fruits,2068,100
2024-06-13,Insurance,Gpay,LIC,4813,100
2024-06-15,Bills,Cash,Electricity Bill,887,15
2024-06-20,Rent,Debit Card,Parking Rent,2677,0
2024-06-25,Fuel,Credit card,Petrol,4172,1000
2024-06-25,Fuel,Credit card,CNG,2908,15
2024-06-28,Fees,Cash,School Fees,2350,0
2024-06-19,Fees,Gpay,School Fees,1340,50
2024-06-03,Fees,Debit Card,College Fees,746,10
2024-06-18,Bills,Debit Card,Telephone bill,185,12
2024-06-16,Bills,Credit card,Telephone bill,1722,0
2024-06-02,Insurance,Debit Card,Vehicle Insurance,1011,15
2024-06-03,Fees,Gpay,College Fees,1355,15
2024-06-02,Fuel,Net Banking,Diesel,185,12
2024-06-07,Bills,Gpay,Electricity Bill,4710,12
2024-06-20,Insurance,Gpay,Vehicle Insurance,143,1000
2024-06-05,Bills,Gpay,Electricity Bill,2610,1000
2024-06-05,Rent,Net Banking,Residential Rent,396,15
2024-06-08,Rent,Credit card,Residential Rent,3258,1000
2024-06-24,Fees,Gpay,College Fees,4879,5
2024-06-12,Rent,Net Banking,Parking Rent,1831,15
2024-06-29,Fuel,Debit Card,Diesel,3122,1000
2024-06-24,Insurance,Cash,Health Insurance,1864,10
2024-06-16,Rent,Credit card,Residential Rent,4652,5
2024-06-01,Bills,Cash,Electricity Bill,2739,50
2024-06-25,Bills,Credit card,Water Bill,4533,12
2024-06-13,Bills,Net Banking,Water Bill,461,100
2024-06-03,Bills,Credit card,Water Bill,3740,0
2024-06-13,Fees,Debit Card,School Fees,3651,10
2024-06-21,Insurance,Net Banking,Vehicle Insurance,2743,50
2024-06-21,Fees,Cash,College Fees,4720,100
2024-06-22,Groceries,Debit Card,Dairy,4325,1000
2024-06-02,Fuel,Debit Card,Petrol,2810,100
2024-06-15,Fees,Gpay,School Fees,402,50
2024-06-28,Rent,Debit Card,Parking Rent,773,5
2024-06-01,Rent,Net Banking,Commercial Rent,1165,5
2024-06-14,Groceries,Cash,Fruits,1089,100
2024-06-27,Bills,Debit Card,Telephone bill,2358,5
2024-06-14,Fuel,Net Banking,Diesel,3201,100
2024-06-29,Groceries,Credit card,Fruits,4746,100
2024-06-22,Fees,Cash,College Fees,4061,100
2024-06-15,Fuel,Net Banking,Diesel,1168,1000
2024-06-10,Groceries,Credit card,Bakery,3778,50
2024-06-11,Rent,Debit Card,Commercial Rent,3808,15
2024-06-05,Fees,Credit card,School Fees,1891,15
2024-06-20,Bills,Debit Card,Electricity Bill,4661,12
2024-06-01,Bills,Gpay,Water Bill,788,1000
2024-06-12,Fuel,Credit card,Petrol,4837,12
2024-06-21,Insurance,Cash,Vehicle Insurance,4021,1000
2024-06-03,Fees,Cash,College Fees,3172,12
2024-06-25,Insurance,Debit Card,Vehicle Insurance,2265,0
2024-06-03,Rent,Gpay,Residential Rent,2144,5
2024-06-01,Fees,Gpay,College Fees,555,100
2024-06-28,Groceries,Debit Card,Bakery,3543,12
2024-06-15,Rent,Credit card,Residential Rent,4093,100
2024-06-10,Groceries,Net Banking,Vegeatbles,3569,1000
2024-06-25,Fees,Debit Card,College Fees,322,15
2024-06-20,Fuel,Cash,Petrol,1261,12
2024-06-10,Insurance,Cash,LIC,1776,100
2024-06-11,Fees,Credit card,School Fees,2867,10
2024-06-06,Insurance,Debit Card,Vehicle Insurance,3869,5
2024-06-17,Groceries,Gpay,Vegeatbles,3850,10
2024-06-19,Bills,Gpay,Electricity Bill,553,50
2024-06-14,Bills,Net Banking,Electricity Bill,3216,50
2024-06-09,Insurance,Cash,Vehicle Insurance,1013,12
2024-06-17,Rent,Gpay,Parking Rent,810,15
2024-06-23,Fees,Credit card,College Fees,3110,100
2024-06-10,Insurance,Credit card,LIC,440,5
2024-06-25,Fuel,Debit Card,Diesel,1735,12
2024-06-03,Rent,Cash,Parking Rent,3328,100
2024-06-20,Insurance,Cash,LIC,2963,5
2024-06-28,Fees,Gpay,College Fees,3960,100
2024-06-05,Insurance,Cash,Vehicle Insurance,4433,1000
2024-06-24,Groceries,Gpay,Vegeatbles,628,10
2024-06-09,Fees,Credit card,College Fees,755,0
2024-06-10,Fuel,Debit Card,CNG,2060,100
2024-06-24,Groceries,Credit card,Dairy,1268,5
2024-06-06,Fuel,Net Banking,Petrol,3317,15
2024-06-13,Insurance,Gpay,Health Insurance,722,100
2024-06-13,Insurance,Cash,LIC,443,5
2024-06-26,Rent,Debit Card,Parking Rent,3029,5
2024-06-02,Fees,Net Banking,School Fees,3951,0
2024-06-07,Insurance,Debit Card,Health Insurance,922,50
2024-06-19,Rent,Gpay,Residential Rent,4191,12
2024-06-08,Groceries,Debit Card,Dairy,2847,1000
2024-06-15,Insurance,Net Banking,LIC,1130,10
2024-06-25,Fuel,Net Banking,Petrol,1005,100
2024-06-19,Insurance,Debit Card,LIC,2311,5
2024-06-14,Fuel,Net Banking,CNG,195,100
2024-06-23,Groceries,Net Banking,Dairy,4728,50
2024-06-14,Rent,Debit Card,Parking Rent,1780,15
2024-06-17,Groceries,Gpay,Bakery,4329,50
2024-06-23,Fuel,Cash,CNG,1485,12
2024-06-26,Rent,Net Banking,Residential Rent,4606,12
2024-06-24,Fees,Gpay,School Fees,3132,1000
2024-06-05,Bills,Net Banking,Telephone bill,3682,10
2024-06-28,Bills,Debit Card,Telephone bill,1523,1000
2024-06-08,Fuel,Cash,Petrol,2168,0
2024-06-01,Fees,Cash,School Fees,2169,12
2024-06-01,Groceries,Cash,Fruits,4517,1000
2024-06-06,Rent,Cash,Commercial Rent,648,100
2024-06-08,Fuel,Credit card,CNG,1898,50
2024-06-04,Groceries,Debit Card,Fruits,2384,100
2024-06-06,Fees,Credit card,School Fees,1957,5
2024-06-08,Fuel,Cash,Diesel,4980,5
