Date,Category,Payment_modes,Description,Amount,Cashback
2024-03-11,Rent,Net Banking,Residential Rent,3234,0
2024-03-06,Insurance,Gpay,Health Insurance,74,15
2024-03-10,Fees,Debit Card,College Fees,4731,100
2024-03-30,Rent,Net Banking,Commercial Rent,755,12
2024-03-24,Groceries,Debit Card,Fruits,3401,12
2024-03-17,Groceries,Cash,Vegeatbles,4010,15
2024-03-12,Fuel,Debit Card,Diesel,4303,10
2024-03-13,Rent,Net Banking,Commercial Rent,3560,10
2024-03-08,Fees,Gpay,College Fees,3683,100
2024-03-10,Insurance,Debit Card,Vehicle Insurance,4088,5
2024-03-04,Fuel,Net Banking,Diesel,4431,15
2024-03-10,Groceries,Net Banking,Vegeatbles,2388,100
2024-03-24,Fees,Cash,School Fees,4323,10
2024-03-10,Insurance,Cash,LIC,2657,15
2024-03-04,Bills,Net Banking,Water Bill,3863,5
2024-03-21,Fuel,Net Banking,Petrol,1780,1000
2024-03-21,Rent,Credit card,Commercial Rent,3108,10
2024-03-26,Groceries,Net Banking,Bakery,4015,50
2024-03-12,Fuel,Gpay,CNG,467,0
2024-03-23,Insurance,Cash,Health Insurance,4358,10
2024-03-06,Fees,Gpay,School Fees,2298,50
2024-03-27,Bills,Debit Card,Water Bill,3336,5
2024-03-18,Fuel,Gpay,Diesel,2198,100
2024-03-26,Groceries,Credit card,Dairy,568,1000
2024-03-13,Fuel,Credit card,Petrol,2175,15
2024-03-30,Insurance,Cash,LIC,4177,50
2024-03-16,Bills,Gpay,Electricity Bill,4399,5
2024-03-29,Rent,Debit Card,Parking Rent,3932,10
2024-03-03,Bills,Debit Card,Electricity Bill,549,0
2024-03-25,Rent,Debit Card,Residential Rent,190,100
2024-03-07,Fuel,Debit Card,Diesel,3800,15
2024-03-29,Insurance,Credit card,LIC,4170,12
2024-03-03,Groceries,Gpay,Fruits,1980,5
2024-03-26,Rent,Debit Card,Parking Rent,4257,50
2024-03-26,Bills,Credit card,Telephone bill,1231,15
2024-03-01,Fees,Gpay,School Fees,1900,0
2024-03-27,Fees,Net Banking,School Fees,3583,50
2024-03-09,Fuel,Credit card,Petrol,3347,50
2024-03-23,Fees,Cash,School Fees,1249,1000
2024-03-11,Bills,Debit Card,Water Bill,2561,15
2024-03-07,Fees,Gpay,College Fees,408,1000
