Date,Category,Payment_modes,Description,Amount,Cashback
2024-05-25,Insurance,Credit card,Health Insurance,2773,12
2024-05-26,Groceries,Credit card,Fruits,3329,1000
2024-05-18,Insurance,Debit Card,Health Insurance,4033,5
2024-05-28,Insurance,Gpay,LIC,2673,5
2024-05-17,Insurance,Cash,Vehicle Insurance,3208,15
2024-05-01,Bills,Net Banking,Electricity Bill,4612,50
2024-05-03,Bills,Credit card,Water Bill,3506,1000
2024-05-23,Groceries,Net Banking,Bakery,2132,0
2024-05-07,Groceries,Cash,Vegeatbles,4888,100
2024-05-05,Groceries,Credit card,Dairy,3719,15
2024-05-28,Bills,Gpay,Water Bill,4785,5
2024-05-29,Rent,Debit Card,Commercial Rent,1188,100
2024-05-27,Insurance,Cash,Vehicle Insurance,3109,100
2024-05-15,Fuel,Debit Card,Petrol,4523,50
2024-05-16,Fuel,Credit card,CNG,4998,12
2024-05-17,Rent,Net Banking,Parking Rent,148,10
2024-05-12,Rent,Net Banking,Commercial Rent,667,10
2024-05-05,Bills,Net Banking,Telephone bill,3782,15
2024-05-24,Insurance,Net Banking,Vehicle Insurance,1048,15
2024-05-08,Insurance,Debit Card,Health Insurance,542,12
2024-05-04,Bills,Gpay,Electricity Bill,4608,15
2024-05-13,Groceries,Gpay,Bakery,2647,1000
2024-05-27,Fuel,Gpay,CNG,1576,15
2024-05-19,Groceries,Debit Card,Dairy,4838,10
2024-05-19,Rent,Debit Card,Residential Rent,4466,10
2024-05-17,Fees,Cash,School Fees,1938,12
2024-05-11,Insurance,Credit card,LIC,455,100
2024-05-19,Fees,Net Banking,School Fees,4456,12
2024-05-01,Fees,Debit Card,College Fees,3938,5
2024-05-27,Insurance,Gpay,Vehicle Insurance,1189,100
2024-05-20,Fuel,Debit Card,Diesel,4870,12
2024-05-03,Insurance,Cash,Vehicle Insurance,4013,50
2024-05-05,Insurance,Gpay,Vehicle Insurance,1974,50
2024-05-28,Rent,Debit Card,Residential Rent,18,50
2024-05-28,Bills,Credit card,Telephone bill,142,10
2024-05-01,Insurance,Gpay,Vehicle Insurance,3164,15
2024-05-17,Groceries,Gpay,Vegeatbles,2798,12
2024-05-19,Fees,Debit Card,School Fees,975,12
2024-05-20,Groceries,Gpay,Dairy,866,10
2024-05-28,Groceries,Gpay,Vegeatbles,4743,10
2024-05-04,Rent,Gpay,Parking Rent,3593,100
2024-05-01,Groceries,Credit card,Fruits,1659,1000
2024-05-30,Rent,Gpay,Residential Rent,2086,0
2024-05-23,Rent,Credit card,Parking Rent,3922,50
2024-05-16,Fuel,Credit card,Petrol,3239,1000
2024-05-13,Insurance,Cash,Health Insurance,4019,100
2024-05-14,Bills,Cash,Telephone bill,1617,5
2024-05-03,Insurance,Cash,LIC,2113,5
2024-05-27,Rent,Net Banking,Residential Rent,1876,0
2024-05-11,Insurance,Net Banking,LIC,3303,100
2024-05-12,Bills,Gpay,Water Bill,1391,10
2024-05-02,Insurance,Credit card,Vehicle Insurance,4583,15
2024-05-08,Groceries,Net Banking,Fruits,3257,5
2024-05-16,Groceries,Net Banking,Dairy,3203,50
2024-05-28,Rent,Debit Card,Parking Rent,1698,15
2024-05-19,Insurance,Net Banking,LIC,791,100
2024-05-22,Rent,Gpay,Commercial Rent,1893,1000
2024-05-26,Insurance,Cash,LIC,2674,15
2024-05-26,Fees,Net Banking,School Fees,3093,100
2024-05-06,Bills,Gpay,Telephone bill,3842,50
2024-05-24,Bills,Credit card,Electricity Bill,1007,15
2024-05-09,Groceries,Gpay,Bakery,2006,0
2024-05-02,Fuel,Credit card,Diesel,1078,10
2024-05-09,Groceries,Gpay,Dairy,2191,100
2024-05-23,Insurance,Credit card,Health Insurance,66,100
2024-05-05,Insurance,Credit card,Health Insurance,4275,5
2024-05-14,Fees,Gpay,School Fees,404,15
2024-05-23,Groceries,Gpay,Bakery,2667,10
2024-05-06,Rent,Debit Card,Parking Rent,2876,5
2024-05-17,Rent,Debit Card,Commercial Rent,4676,15
2024-05-03,Rent,Net Banking,Commercial Rent,4644,10
2024-05-21,Bills,Cash,Telephone bill,1242,1000
2024-05-30,Bills,Cash,Electricity Bill,1670,10
2024-05-24,Fees,Credit card,College Fees,426,15
2024-05-06,Groceries,Credit card,Fruits,3020,10
2024-05-11,Fuel,Debit Card,Petrol,99,12
2024-05-19,Bills,Debit Card,Electricity Bill,768,0
2024-05-16,Bills,Debit Card,Water Bill,2268,5
2024-05-02,Bills,Gpay,Water Bill,3856,50
2024-05-12,Insurance,Credit card,LIC,1264,0
2024-05-08,Rent,Net Banking,Parking Rent,3784,0
2024-05-15,Insurance,Gpay,Vehicle Insurance,4612,10
2024-05-15,Fees,Debit Card,College Fees,4992,5
2024-05-06,Fees,Net Banking,School Fees,2758,5
2024-05-20,Rent,Debit Card,Parking Rent,4157,12
2024-05-23,Insurance,Credit card,Health Insurance,4399,10
2024-05-24,Groceries,Credit card,Bakery,3816,0
2024-05-17,Insurance,Gpay,LIC,2375,1000
2024-05-24,Groceries,Gpay,Fruits,3506,50
2024-05-22,Fuel,Debit Card,CNG,313,0
2024-05-20,Rent,Credit card,Parking Rent,779,15
2024-05-07,Insurance,Cash,LIC,1470,12
